ID,Athlete_ID,Name,Sex,Age,Height,Weight,Country_Code,Region,Games,Year,Season,City,Sport,Event,Medal
41804,118388,Melissa Palma Julie Tancredi,F,34,177.0,73.0,CAN,North America,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Womens Football,Bronze
41805,118402,Bradley Edward Tandy,M,25,191.0,86.0,RSA,Africa,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Mens 50 metres Freestyle,
41806,118409,Tang Chiu Mang,M,26,180.0,72.0,HKG,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Mens Lightweight Double Sculls,
41807,118426,Tang Mengni,F,22,169.0,59.0,CHN,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Womens Team,Silver
41808,118429,Tang Peng,M,35,178.0,77.0,HKG,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Mens Singles,
41809,118429,Tang Peng,M,35,178.0,77.0,HKG,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Mens Team,
41810,118436,Tang Xingqiang,M,20,170.0,61.0,CHN,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Mens 4 x 100 metres Relay,
41811,118439,Tang Yi,F,23,178.0,70.0,CHN,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Womens 4 x 100 metres Freestyle Relay,
41812,118442,Tang Yuanting,F,22,175.0,70.0,CHN,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Womens Doubles,
41813,118449,Abdullo Tovashevich Tangriyev,M,35,190.0,132.0,UZB,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Mens Heavyweight,
41814,118465,Noriko Taniguchi,F,23,166.0,66.0,JPN,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Womens Rugby Sevens,
41815,118467,Takayuki Tanii,M,33,167.0,57.0,JPN,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Mens 50 kilometres Walk,
41816,118476,Muamer Tankovi,M,21,180.0,75.0,SWE,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Mens Football,
41817,118509,Paul Kipngetich Tanui,M,25,168.0,47.0,KEN,Africa,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Mens 10000 metres,Silver
41818,118512,Padasak Tanviriyavechakul,M,20,168.0,60.0,THA,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Mens Singles,
41819,118533,Felipe Tapa Salinas,M,21,176.0,70.0,CHI,South America,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Mens 1500 metres Freestyle,
